gene_symbol,mean_coef,median_coef,abs_mean_coef,nonzero_frac,in_clingen_hcvd
LGR4,0.157222,0.1797816,0.157222,1.0,False
IGFBP2,-0.15720822,-0.17710975,0.15720822,1.0,False
LY75,0.15712197,0.17703384,0.15712197,0.8,False
MYOM1,-0.15690278,-0.2003682,0.15690278,0.8,False
C1S,-0.15645395,-0.16884802,0.15645395,1.0,False
ID4,0.1560106,0.12766682,0.1560106,1.0,False
PTX3,0.15592757,0.15022737,0.15592757,1.0,False
IGSF3,-0.15581286,-0.12856783,0.15581286,1.0,False
F3,-0.15560475,-0.1519172,0.15560475,1.0,False
ENSG00000225840,-0.15537259,-0.19695567,0.15537259,1.0,False
ATP2A2,-0.15532228,-0.1324379,0.15532228,1.0,False
H2BC12,-0.15516706,-0.1579405,0.15516706,0.8,False
GUCY1A1,-0.15513147,-0.15738386,0.15513147,1.0,False
LMOD1,-0.15499547,-0.15057242,0.15499547,1.0,False
IL16,-0.15465125,-0.15389417,0.15465125,1.0,False
SESN3,0.15431216,0.24591294,0.15431216,0.6,False
MYBPC3,0.15428908,0.15413144,0.15428908,1.0,True
GPRC5B,-0.15372935,-0.1366276,0.15372935,1.0,False
SLC2A3,0.15342619,0.19850062,0.15342619,1.0,False
PALLD,-0.1531101,-0.1711477,0.1531101,1.0,False
MYO18B,0.15257873,0.18427709,0.15257873,0.8,False
IQGAP2,-0.15243821,-0.17481923,0.15243821,1.0,False
CAVIN2,0.1523943,0.17809139,0.1523943,1.0,False
MARVELD1,0.15229957,0.138162,0.15229957,1.0,False
CSRP1,0.15138032,0.1776761,0.15138032,1.0,False
LMNB1,0.15133344,0.16222812,0.15133344,1.0,False
STXBP2,0.1508919,0.11584231,0.1508919,1.0,False
ARHGDIA,0.1507562,0.14764002,0.1507562,1.0,False
FLT1,0.15055312,0.15998358,0.15055312,1.0,False
CD9,0.15031712,0.18844008,0.15031712,0.8,False
COL11A1,0.15004818,0.16822983,0.15004818,1.0,False
PLEKHA6,0.14992562,0.15423946,0.14992562,0.8,False
PPDPF,0.14982344,0.14498544,0.14982344,1.0,False
COL7A1,-0.14891018,-0.10305972,0.14891018,1.0,False
LAMC1,-0.14840473,-0.16097564,0.14840473,1.0,False
CCL2,-0.14733608,-0.13647752,0.14733608,1.0,False
SDC2,-0.14729507,-0.13329944,0.14729507,1.0,False
C1QB,0.14573848,0.12522365,0.14573848,1.0,False
WDFY4,0.14561316,0.14936739,0.14561316,1.0,False
ANOS1,0.14544359,0.18674684,0.14544359,0.6,False
PIK3R5,0.14522825,0.14739598,0.14522825,1.0,False
SERPINA3,0.14479157,0.11837061,0.14479157,1.0,False
MT-ND4L,-0.14474523,-0.1496338,0.14474523,1.0,False
LAMA2,0.14471386,0.14568952,0.14471386,1.0,False
CASP1,0.14417881,0.14886877,0.14417881,1.0,False
RPL7A,0.14381553,0.11450362,0.14381553,1.0,False
RPL7A,0.14381553,0.11450362,0.14381553,1.0,False
CERCAM,0.14369184,0.17060049,0.14369184,0.8,False
WNT5A,-0.14324817,-0.13757928,0.14324817,1.0,False
TRO,-0.1429658,-0.12778522,0.1429658,0.8,False
F13A1,0.1429378,0.18769881,0.1429378,1.0,False
ANXA2,-0.1426456,-0.13956569,0.1426456,1.0,False
RPS3A,0.1424055,0.14332889,0.1424055,1.0,False
HLA-B,0.14149454,0.14633496,0.14149454,1.0,False
HMGA2,0.14138322,0.105610274,0.14138322,1.0,False
MT-CYB,0.14099963,0.12221062,0.14099963,1.0,False
PTK7,-0.14046979,-0.1737785,0.14046979,1.0,False
SMPX,-0.14031531,-0.20301856,0.14031531,0.6,False
SHROOM3,0.14028868,0.17034008,0.14028868,1.0,False
GNB2,0.14013691,0.14712335,0.14013691,1.0,False
SMARCA1,-0.13983603,-0.15363793,0.13983603,1.0,False
ADAMTS9,0.13982525,0.12719315,0.13982525,1.0,False
CLU,-0.1397765,-0.13066751,0.1397765,1.0,False
SERPINF1,-0.139662,-0.10952704,0.139662,1.0,False
TXNDC5,-0.13906455,-0.14145471,0.13906455,1.0,False
UTY,-0.13881738,-0.13233395,0.13881738,1.0,False
TTYH3,0.13874583,0.13453215,0.13874583,1.0,False
SLC1A3,0.13857247,0.15639792,0.13857247,1.0,False
HAND2,0.13856989,0.13317782,0.13856989,0.8,False
FAM83H,0.13841204,0.15191828,0.13841204,1.0,False
SCARNA7,-0.13805246,-0.1367046,0.13805246,1.0,False
HLA-A,0.13756426,0.13612758,0.13756426,1.0,False
TNRC18,-0.1372624,-0.13733143,0.1372624,1.0,False
RGS5,0.13663045,0.14292991,0.13663045,1.0,False
MMP2,-0.13633414,-0.1313822,0.13633414,1.0,False
PDGFRB,0.13625976,0.101644665,0.13625976,1.0,False
HLA-C,0.13622244,0.12783766,0.13622244,1.0,False
L1CAM,0.13610297,0.114049144,0.13610297,1.0,False
FHOD3,0.13602808,0.103258915,0.13602808,1.0,False
TUB,-0.13579774,-0.14587793,0.13579774,1.0,False
NOMO1,-0.13577393,-0.112446845,0.13577393,1.0,False
MAZ,-0.13514423,-0.13211115,0.13514423,1.0,False
S100A11,0.13508214,0.12433265,0.13508214,1.0,False
MYBL2,-0.13496885,-0.14957193,0.13496885,1.0,False
RCSD1,-0.13474783,-0.14591943,0.13474783,1.0,False
LAPTM4B,-0.13468537,-0.14553192,0.13468537,1.0,False
ARHGAP25,0.1346427,0.156864,0.1346427,1.0,False
FLI1,-0.13429037,-0.14524311,0.13429037,1.0,False
TP53I11,0.13427486,0.14188029,0.13427486,1.0,False
TC2N,0.13406259,0.1513879,0.13406259,1.0,False
SERPINA1,-0.13387537,-0.13626736,0.13387537,1.0,False
MMP15,-0.1337481,-0.13099879,0.1337481,1.0,False
RCN1,0.13337389,0.1070162,0.13337389,1.0,False
CARD10,-0.13330783,-0.20865375,0.13330783,0.6,False
TUBB,0.13294108,0.12785034,0.13294108,1.0,False
PDLIM1,0.13274467,0.16681357,0.13274467,1.0,False
PTPN6,-0.13242513,-0.12019861,0.13242513,1.0,False
EPDR1,0.13159531,0.14324476,0.13159531,1.0,False
FXYD5,0.13155851,0.15449654,0.13155851,1.0,False
UBE2C,-0.13141349,-0.13728331,0.13141349,1.0,False
IGHG1,-0.13094716,-0.120319046,0.13094716,1.0,False
IGHG1,-0.13094716,-0.120319046,0.13094716,1.0,False
WNK2,0.13068569,0.12272545,0.13068569,1.0,False
PACSIN3,0.13062188,0.109799735,0.13062188,1.0,False
PIK3CG,-0.13031864,-0.15691161,0.13031864,1.0,False
MIR663A,-0.13030535,-0.16190499,0.13030535,0.8,False
CACNA2D1,-0.1302008,-0.10038471,0.1302008,1.0,False
TMEM176B,-0.13017459,-0.11757768,0.13017459,1.0,False
CST3,-0.13014622,-0.10571657,0.13014622,1.0,False
HBA1,0.13000698,0.115864895,0.13000698,1.0,False
HLA-DRB1,-0.12987371,-0.13067132,0.12987371,1.0,False
GATA4,0.12941058,0.0,0.12941058,0.4,True
CFH,0.12915392,0.13625573,0.12915392,1.0,False
CD4,-0.12913989,-0.10609575,0.12913989,1.0,False
MT-ND3,0.12911502,0.17434421,0.12911502,1.0,False
MT-RNR1,0.12900524,0.09231898,0.12900524,1.0,False
ITGB1,-0.12889633,-0.1065302,0.12889633,1.0,False
CALM3,0.12885436,0.10962383,0.12885436,1.0,True
BICC1,0.12882987,0.0,0.12882987,0.2,False
PTN,0.12877777,0.13666458,0.12877777,1.0,False
LGALS3BP,-0.12817955,-0.14324138,0.12817955,1.0,False
XIST,-0.12808627,-0.13337477,0.12808627,1.0,False
MT-TY,-0.12784645,-0.13768232,0.12784645,1.0,False
EFEMP1,0.12775758,0.11993571,0.12775758,1.0,False
TNNI3,-0.12752457,-0.10155176,0.12752457,1.0,True
MEF2C,-0.1272217,-0.13519925,0.1272217,1.0,False
GPC4,-0.12721762,-0.1447925,0.12721762,1.0,False
HDLBP,-0.1263161,-0.13124703,0.1263161,1.0,False
SDC4,-0.1260695,-0.07995565,0.1260695,1.0,False
MYH9,0.12605765,0.11658737,0.12605765,1.0,False
FN1,0.12603156,0.15125413,0.12603156,1.0,False
KHSRP,-0.1259972,-0.14702417,0.1259972,0.8,False
CNN3,-0.12594765,-0.13991086,0.12594765,1.0,False
PLXNB1,-0.12587148,-0.08466785,0.12587148,1.0,False
LMNB2,-0.12578085,-0.1325953,0.12578085,1.0,False
HMCN1,0.12555794,0.12150223,0.12555794,1.0,False
SH3BP4,-0.12555341,-0.10485768,0.12555341,1.0,False
OBSCN,-0.12528841,-0.12493969,0.12528841,1.0,False
EMB,0.1252365,0.113455795,0.1252365,1.0,False
GJA1,-0.12511009,-0.13532984,0.12511009,1.0,False
MIR223HG,-0.12478115,-0.12320448,0.12478115,1.0,False
OBSL1,-0.124639586,-0.12451753,0.124639586,1.0,False
